,words,count
1747,liek,4
1748,revising,4
1749,everytime,4
1750,anywhere,4
1751,10am,4
1752,bitchass,4
1753,wifi,4
1754,losing,4
1755,fail,4
1756,ice-cream,4
1757,pants,4
1758,intense,4
1759,mercy,4
1760,beat,4
1761,ran,4
1762,capable,4
1763,yo,4
1764,dramatic,4
1765,sheesh,4
1766,agrees,4
1767,pat,4
1768,awesome,4
1769,spelling,4
1770,tarawr,4
1771,era,4
1772,med,4
1773,button,4
1774,ty,4
1775,stables,4
1776,filled,4
1777,cave,4
1778,stable,4
1779,cackling,4
1780,restart,4
1781,proper,4
1782,fruit,4
1783,inspiration,4
1784,flight,4
1785,ridiculous,4
1786,tutor,4
1787,nail,4
1788,assistance,4
1789,extent,4
1790,philo,4
1791,count,4
1792,'im,4
1793,pull,4
1794,regularly,4
1795,profile,4
1796,matters,4
1797,fuckin,4
1798,yup,4
1799,swiped,4
1800,sorting,4
1801,jiayou,4
1802,current,4
1803,arm,4
1804,route,4
1805,turns,4
1806,match,4
1807,stairs,4
1808,finance,4
1809,gloomy,4
1810,5pm,4
1811,doctor,4
1812,adopt,4
1813,aarav,4
1814,trip,4
1815,store,4
1816,comics,4
1817,girlie,4
1818,sell,4
